customer_id,age,region,income,monthly_minutes,monthly_data_gb,support_tickets,monthly_bill,outstanding_balance,churn
1,56,West,39436,2432,14.45,9,41.85,355.33,0
2,6R,South,47669,491,14.07,4,67.98,468.42,0
3,46,West,31843,2507,11.93,2,104.78,329.99,0
4,32,North,95609,868,12.84,4,110.57,3.55,1
5,60,East,80812,896,16.17,4,126.12,132.79,0
6,25,West,46059,1031,19.6,7,149.95,452.89,0
7,38,North,70768,2070,16.01,9,38.03,321.72,0
8,56,North,55395,264,14.3,8,43.71,490.82,1
9,36,South,50202,832,3.14,7,40.35,77.98,0
10,40,North,43273,680,16.43,2,101.94,148.37,1
11,28,East,78889,920,14.85,0,37.11,181.18,0
12,28,West,75510,1347,15.52,2,156.83,163.28,0
13,41,South,32881,223,5.01,0,67.91,126,0
14,53,North,75913,2071,18.12,8,189.67,221.73,1
15,57,South,95037,443,2.4,2,112.69,321.15,0
16,41,East,92457,1974,5.45,7,105.88,155.63,0
17,20,North,65343,623,13.43,5,162.69,39.85,0
18,39,East,92389,228,13.64,2,151.24,354.27,0
19,19,East,38656,1258,6.61,8,133.24,229.51,0
20,41,East,35741,2804,14.18,7,188.97,278.24,0
21,61,North,46661,2885,8.06,2,101.78,227.7,0
22,47,East,58690,2218,0.5,6,167.45,445.18,1
23,55,North,62833,2420,3.67,4,94.62,279.37,0
24,19,North,87141,1310,17.71,1,172.52,461.64,0
25,38,West,69023,1126,4.84,7,74.11,255.29,0
26,50,East,70209,1408,2.7,0,79.18,146.29,1
27,29,North,44440,121,13.8,3,145.24,177.72,0
28,39,North,37960,265,9.09,3,66.16,261.06,0
29,61,North,52462,1433,16.03,9,68.96,264.99,0
30,42,North,47821,1600,17.3,4,81.89,343.67,0
31,66,North,87772,597,17,3,145.42,112.25,0
32,44,North,57258,533,6.6,0,181.2,329.42,0
33,59,South,92524,2905,10.36,6,144.68,389.29,0
34,45,East,52115,2381,13.18,9,170.73,338.3,1
35,33,East,76433,936,6.78,1,122.41,240.91,1
36,32,East,70644,1793,1.3,9,41.72,495.84,0
37,64,North,92643,762,10.17,2,47.08,202.41,0
38,68,West,43311,824,0.75,4,124.25,53.3,1
39,61,West,60531,475,19.04,7,85.73,410.75,1
40,69,West,44588,2877,16.04,9,67.5,106.1,0
41,20,West,79416,402,4.24,7,109.26,356.64,0
42,54,West,42380,2552,6.11,1,143.3,89.49,1
43,68,East,72645,1786,19.67,8,95.45,8.44,0
44,24,North,47818,807,7.78,5,166.43,79.9,1
45,38,East,60857,1016,15.78,8,155.55,188.49,0
46,26,East,51711,2168,9.21,3,154.94,53.31,0
47,56,East,35097,356,17.35,2,197.48,98.84,0
